원본,요약,카테고리,카테고리 요약
 다양한 먹거리 체험이 있었음합니다.,- 다양한 먹거리 체험이 있었음합니다.,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
" 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
기획부분에서 아쉽다고 느낌-> 비슷비슷하달까… 근데 트렌드 면에서는 잘 짚었다고 봄
나중에는 ""차별화""를 둔 축제 기획을 원한다.
비슷해지는 것보다 눈에 띄는게 좋으니까","- 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
- 기획부분에서 아쉽다고 느낌 -> 비슷비슷하달까…
- 근데 트렌드 면에서는 잘 짚었다고 봄.
- 나중에는 ""차별화""를 둔 축제 기획을 원한다.
- 비슷해지는 것보다 눈에 띄는게 좋으니까.","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
"5시 15분 공연 관광하고싶었으나
안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
옷 만들기도 5시에 소진되어 하지 못했고
푸드트럭이 부족해보임.","- 5시 15분 공연 관광하고싶었으나 안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
- 옷 만들기도 5시에 소진되어 하지 못했다.
- 푸드트럭이 부족해보임.","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
가수 ,- 가수,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"가수 출연가수 너무 부실함
정말 멀리서 걸어왔는데 가수가 저게 뭔가요?
양심 있나요?","- 가수 출연가수 너무 부실함
- 정말 멀리서 걸어왔는데 가수가 저게 뭔가요?
- 양심 있나요?","각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
가족or친척 함께 어울릴 수 있는 행사,"개조식 요약:
- 가족or친척 함께 어울릴 수 있는 행사","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,- 가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
개최해주셔서 감사합니다.,- 개최해주셔서 감사합니다.,"트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
공연관람시 의자시설을 더욱 보완해주시면 좋을것 같습니다.,- 공연관람시 의자시설을 더욱 보완해주시면 좋을것 같습니다.,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
공장에서 진행된다고 하지만 많은 인원이 참여하기엔 다소 협소하다.,- 공장에서 진행된다고 하지만 많은 인원이 참여하기엔 다소 협소하다.,"공장협소
자녀동반가족
체험프로그램부족
실내프로그램
폐공장활용
다양한프로그램
프로그램운행
식사여흥
대기표시스템
의자관람불편
프로그램편함","- 프로그램 다양성·수량 부족(특히 어린이·가족 대상), 장소·수용인원 협소, 우천 대비·실내프로그램 부족, 예약·대기 시스템(사전예약 마감·대기표 등) 문제"
