원본,요약,카테고리
 다양한 먹거리 체험이 있었음합니다.,- 다양한 먹거리 체험이 마련되어 참가자가 여러 음식을 즐길 수 있어 좋았음,행사운영개선
" 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
기획부분에서 아쉽다고 느낌-> 비슷비슷하달까… 근데 트렌드 면에서는 잘 짚었다고 봄
나중에는 ""차별화""를 둔 축제 기획을 원한다.
비슷해지는 것보다 눈에 띄는게 좋으니까",- 행사 기획이 비슷비슷해 차별화된 콘셉트와 눈에 띄는 프로그램으로 차별화할 필요가 있음,행사운영개선
"5시 15분 공연 관광하고싶었으나
안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
옷 만들기도 5시에 소진되어 하지 못했고
푸드트럭이 부족해보임.",- 공연 안내가 미흡해 위치를 찾지 못해 보고 싶었던 5시 15분 공연을 관람하지 못했음,행사운영관리
가수 ,- 가수의 공연이 인상적이어서 행사에서 가장 만족스러웠다,행사경험
"가수 출연가수 너무 부실함
정말 멀리서 걸어왔는데 가수가 저게 뭔가요?
양심 있나요?",- 출연 가수들의 라인업이 미흡해 멀리 온 관객의 기대를 충족하지 못했음,행사운영개선
가족or친척 함께 어울릴 수 있는 행사,- 가족과 친척이 함께 즐기고 교류할 수 있는 가족 친화형 프로그램 확대가 필요함,가족체험프로그램
가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,- 가족 단위 참가가 많은 만큼 아이와 함께할 수 있는 체험부스를 확대해야 함,가족체험프로그램
개최해주셔서 감사합니다.,- 행사를 개최해 주어 감사하며 전반적으로 만족했음,행사경험
공연관람시 의자시설을 더욱 보완해주시면 좋을것 같습니다.,- 공연 관람의 편의성을 높이기 위해 좌석 수와 편의성 등 의자 시설을 보강해야 함,행사경험
공장에서 진행된다고 하지만 많은 인원이 참여하기엔 다소 협소하다.,- 행사 장소가 협소해 많은 인원이 참여하기 어려우니 공간 확대 또는 인원 분산 등의 조치가 필요함,행사경험
교통이 편이한 곳에서 했으면 좋겠어요.,- 교통이 편리한 장소에서 행사를 개최해 접근성을 높이고 이동 불편을 줄여야 함,행사경험
"교통편, 주차시설",- 행사장 접근을 위한 교통편이 불편하고 주차시설이 부족해 방문과 이용에 어려움이 있었다,주차·교통불편
"구미에는 어린이 가족이 많은데 어린이들과 함께 체험가능한 프로그램이
더 많았으면 좋겠습니다.",- 어린이 동반 가족이 많은 지역 특성을 반영해 아이들과 함께 참여할 수 있는 체험 프로그램을 확대할 필요가 있음,가족체험프로그램
